codigo,Pais,Provincia,Canton,Localidad,Clase,tematica,Codigo,Orden,Pais,Provincia,Canton,Localidad,X,Y,Clase,Tematica,filtroE,filtroP,Bioma
herp001,Ecuador,Manabí,Puerto López,Agua Blanca,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Manabí,Puerto López,Agua Blanca,-1.53333,-80.73333,AMPHIBIA,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
herp001,Ecuador,El Oro,Arenillas,Arenillas,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,El Oro,Arenillas,Arenillas,-3.55,-80.06667,AMPHIBIA,Biogeografía y distribución,Tumbes-Piura dry forests,Ecuador,Bosques secos
herp001,Ecuador,El Oro,Piñas,Buenaventura,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,El Oro,Piñas,Buenaventura,-3.58333,-79.88333,AMPHIBIA,Biogeografía y distribución,Tumbes-Piura dry forests,Ecuador,Bosques secos
herp001,Ecuador,Loja,Zapotillo,Cordillera Mangahurquilllo,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Loja,Zapotillo,Cordillera Mangahurquilllo,-4.06667,-80.3,AMPHIBIA,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
herp019,Ecuador,Guayas,Duran,Isla Santay,AMPHIBIA,Biogeografía y distribución,herp019,Anura,Ecuador,Guayas,Duran,Isla Santay,-2.21667,-79.85,AMPHIBIA,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
herp014,Ecuador,Manabí,Jama,Jama-Coaque Ecological Reserve,AMPHIBIA,Biogeografía y distribución,herp014,Squamata,Ecuador,Manabí,Jama,Jama-Coaque Ecological Reserve,-0.204929,-80.267928,AMPHIBIA,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
herp001,Ecuador,Cañar,La Troncal,La Troncal,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Cañar,La Troncal,La Troncal,-2.4,-79.33333,AMPHIBIA,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
herp001,Ecuador,El Oro,Machala,Machala,AMPHIBIA,Biogeografía y distribución,herp001,Squamata,Ecuador,El Oro,Machala,Machala,-3.26667,-79.96667,AMPHIBIA,Biogeografía y distribución,South American Pacific mangroves,Ecuador,Bosques secos
herp001,Ecuador,Guayas,Naranjal,Naranjal,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Guayas,Naranjal,Naranjal,-2.66667,-79.6,AMPHIBIA,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
herp001,Ecuador,Los Ríos,Babahoyo,Pimocha,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Los Ríos,Babahoyo,Pimocha,-1.83333,-79.6,AMPHIBIA,Biogeografía y distribución,Guayaquil flooded grasslands,Ecuador,Bosques secos
herp001,Ecuador,Esmeraldas,Esmeraldas,Playa Escondida,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Esmeraldas,Esmeraldas,Playa Escondida,0.81667,-80,AMPHIBIA,Biogeografía y distribución,NA,NA,Bosques lluviosos
herp004,Peru,Tumbes,Tumbes,Quebrada Cochas,AMPHIBIA,Biogeografía y distribución,herp004,Anura,Peru,Tumbes,Tumbes,Quebrada Cochas,-3.82167,-80.23167,AMPHIBIA,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
herp001,Ecuador,Loja,Zapotillo,Quebrada El Faique,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Loja,Zapotillo,Quebrada El Faique,-4.16667,-80.03333,AMPHIBIA,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
