"";"Codigo";"X";"Y";"Pais";"Clase";"Cita";"Fecha";"Autor(es)";"year";"Titulo";"Palabras Clave";"Resumen";"Tematica";"Link";"Tipo";"filtroE";"filtroP";"Bioma"
"1";"art001";-4,903638;-80,686432;"Perú";"AVES";"Bangs and Noble 1918";NA;"Bangs O; Noble G";1918;"List of Birds Collected on the Harvard Peruvian Expedition of 1916";"No aplica";"No aplica";"Diversidad";"http://www.jstor.org/stable/4073218";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"2";"art002";-3,655295;-79,768129;"Perú";"AVES";"Best 1994";NA;"Best B";1994;"Focus On: Ochre-bellied Dove Leptotila ochraceiventris";"No aplica";"No aplica";"Ecología";"https://www.neotropicalbirdclub.org/wp-content/uploads/2014/12/Cotinga-01-1994-30-33.pdf";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"3";"art003";-4,400005;-80,750003;"Perú";"AVES";"Barrio 1997";NA;"Barrio J";1997;"Photospot: Tumbes Tyrant; Tumbezia salvini";"No aplica";"No aplica";"Ecología";"https://www.neotropicalbirdclub.org/wp-content/uploads/2016/02/Cotinga-08-1997-87-89.pdf";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"4";"art004";-2,189029;-79,426788;"Perú";"AVES";"Best et la. 1995";NA;"Best J; Krabbe N; Clarke C; Best A";1995;"Red-masked Parakeet Aratinga erythrogenys and Grey-cheeked Parakeet Brotogeris pyrrhopterus: two threatened parrots from Tumbesian Ecuador and Peru?";"No aplica";"In order to determine whether Aratinga erythrogenys and Brotogeris pyrrhopterus can be formally classified as globally threatened species; their distribution; population sizes and ecological requirements are reviewed; together with national and international trade data from the last decade. The study concludes that; on current data; it is not possible to classify the two species formally; but there are strong indications that; at least locally; the populations of the two species are in decline. The causal factors appear to be a combination of high trade levels and habitat loss. It is essential that trade moratoria are implemented; pending the outcome of further research into the species' population sizes; ecology and breeding success; and further work to determine the extent of trade. Interim recommendations are given and it is proposed that future exploitation of the species should continue only when it has been determined that it has a sustainable basis.";"Conservación";"NA";"Artículo";"Ecuadorian dry forests";"Ecuador";"Bosques secos"
"5";"art005";-5,194623;-79,117727;"Perú";"AVES";"Bond 1945";NA;"Bond J";1945;"Notes on Peruvian Furnariidae";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064378";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"6";"art006";-1,66705;-79,117727;"Perú";"AVES";"Bond 1950";NA;"Bond J";1950;"Notes on Peruvian Formicariidae";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064401";"Artículo";"Northwestern Andean montane forests";"Ecuador";"Bosques lluviosos"
"7";"art007";-5,026431;-79,609506;"Perú";"AVES";"Bond 1954";NA;"Bond J";1954;"Notes on Peruvian Piciformes";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064446";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"8";"art008";-5,389742;-78,683333;"Perú";"AVES";"Bond 1954";NA;"Bond J";1954;"Notes on Peruvian Trochilidae";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064449";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"9";"art009";-5,026431;-78,683333;"Perú";"AVES";"Bond 1955";NA;"Bond J";1955;"Notes on Peruvian Coerebidae and Thraupidae";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064479";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"10";"art010";-5,026431;-78,683333;"Perú";"AVES";"Bond 1955";NA;"Bond J";1955;"Additional Notes on Peruvian Birds I";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064486";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"11";"art011";-7,4;-79,55;"Perú";"AVES";"Bond 1955";NA;"Bond J";1955;"A New Race of Least Bittern from Peru";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4081433";"Artículo";"Sechura desert";"Peru";"Bosques secos"
"12";"art012";-5,026431;-78,683333;"Perú";"AVES";"Bond 1956";NA;"Bond J";1956;"Additional Notes on Peruvian Birds II";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064522";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
